fact_rating_phase1,snopes_url_phase1,article_title_phase1,article_category_phase1,article_date_phase1,article_claim_phase1,article_origin_url_phase1,index_paragraph_phase1,page_is_first_citation_phase1
true,https://www.snopes.com/fact-check/mccain-carried-air-force-two/,Was John McCain’s Body Carried to Washington on Air Force Two?,Politics,3 September 2018,"Senator John McCain's remains were carried to Washington, D.C., on a Boeing C-32A airplane commonly used as ""Air Force Two.""",https://www.militarytimes.com/veterans/2018/08/27/veterans-group-furious-with-white-house-over-disrespect-following-john-mccains-death/,2,True
true,https://www.snopes.com/fact-check/mccain-carried-air-force-two/,Was John McCain’s Body Carried to Washington on Air Force Two?,Politics,3 September 2018,"Senator John McCain's remains were carried to Washington, D.C., on a Boeing C-32A airplane commonly used as ""Air Force Two.""",https://www.apnews.com/dd2e3b97c51a4c14bc3a91a371df5e54,10,False
true,https://www.snopes.com/fact-check/mccain-carried-air-force-two/,Was John McCain’s Body Carried to Washington on Air Force Two?,Politics,3 September 2018,"Senator John McCain's remains were carried to Washington, D.C., on a Boeing C-32A airplane commonly used as ""Air Force Two.""",https://www.wusa9.com/article/news/local/dc/air-force-two-takes-john-mccain-on-his-final-flight-to-washington/65-589259081,15,False
